Step,Id,Command,X-R-L,Y-G,Z-B,Yaw-Intensity,Duration
1,4,Goto,0.0,-3.0,3,0,0.042
2,4,Goto,0.079,-2.999,3,0,0.042
3,4,Goto,0.157,-2.996,3,0,0.042
4,4,Goto,0.235,-2.991,3,0,0.042
5,4,Goto,0.314,-2.984,3,0,0.042
6,4,Goto,0.392,-2.974,3,0,0.042
7,4,Goto,0.469,-2.963,3,0,0.042
8,4,Goto,0.547,-2.95,3,0,0.042
9,4,Goto,0.624,-2.934,3,0,0.042
10,4,Goto,0.7,-2.917,3,0,0.042
11,4,Goto,0.776,-2.898,3,0,0.042
12,4,Goto,0.852,-2.876,3,0,0.042
13,4,Goto,0.927,-2.853,3,0,0.042
14,4,Goto,1.001,-2.828,3,0,0.042
15,4,Goto,1.075,-2.801,3,0,0.042
16,4,Goto,1.148,-2.772,3,0,0.042
17,4,Goto,1.22,-2.741,3,0,0.042
18,4,Goto,1.292,-2.708,3,0,0.042
19,4,Goto,1.362,-2.673,3,0,0.042
20,4,Goto,1.431,-2.636,3,0,0.042
21,4,Goto,1.5,-2.598,3,0,0.042
22,4,Goto,1.567,-2.558,3,0,0.042
23,4,Goto,1.634,-2.516,3,0,0.042
24,4,Goto,1.699,-2.472,3,0,0.042
25,4,Goto,1.763,-2.427,3,0,0.042
26,4,Goto,1.826,-2.38,3,0,0.042
27,4,Goto,1.888,-2.331,3,0,0.042
28,4,Goto,1.948,-2.281,3,0,0.042
29,4,Goto,2.007,-2.229,3,0,0.042
30,4,Goto,2.065,-2.176,3,0,0.042
31,4,Goto,2.121,-2.121,3,0,0.042
32,4,Goto,2.176,-2.065,3,0,0.042
33,4,Goto,2.229,-2.007,3,0,0.042
34,4,Goto,2.281,-1.948,3,0,0.042
35,4,Goto,2.331,-1.888,3,0,0.042
36,4,Goto,2.38,-1.826,3,0,0.042
37,4,Goto,2.427,-1.763,3,0,0.042
38,4,Goto,2.472,-1.699,3,0,0.042
39,4,Goto,2.516,-1.634,3,0,0.042
40,4,Goto,2.558,-1.567,3,0,0.042
41,4,Goto,2.598,-1.5,3,0,0.042
42,4,Goto,2.636,-1.431,3,0,0.042
43,4,Goto,2.673,-1.362,3,0,0.042
44,4,Goto,2.708,-1.292,3,0,0.042
45,4,Goto,2.741,-1.22,3,0,0.042
46,4,Goto,2.772,-1.148,3,0,0.042
47,4,Goto,2.801,-1.075,3,0,0.042
48,4,Goto,2.828,-1.001,3,0,0.042
49,4,Goto,2.853,-0.927,3,0,0.042
50,4,Goto,2.876,-0.852,3,0,0.042
51,4,Goto,2.898,-0.776,3,0,0.042
52,4,Goto,2.917,-0.7,3,0,0.042
53,4,Goto,2.934,-0.624,3,0,0.042
54,4,Goto,2.95,-0.547,3,0,0.042
55,4,Goto,2.963,-0.469,3,0,0.042
56,4,Goto,2.974,-0.392,3,0,0.042
57,4,Goto,2.984,-0.314,3,0,0.042
58,4,Goto,2.991,-0.235,3,0,0.042
59,4,Goto,2.996,-0.157,3,0,0.042
60,4,Goto,2.999,-0.079,3,0,0.042
61,4,Goto,3.0,0.0,3,0,0.042
62,4,Goto,2.999,0.079,3,0,0.042
63,4,Goto,2.996,0.157,3,0,0.042
64,4,Goto,2.991,0.235,3,0,0.042
65,4,Goto,2.984,0.314,3,0,0.042
66,4,Goto,2.974,0.392,3,0,0.042
67,4,Goto,2.963,0.469,3,0,0.042
68,4,Goto,2.95,0.547,3,0,0.042
69,4,Goto,2.934,0.624,3,0,0.042
70,4,Goto,2.917,0.7,3,0,0.042
71,4,Goto,2.898,0.776,3,0,0.042
72,4,Goto,2.876,0.852,3,0,0.042
73,4,Goto,2.853,0.927,3,0,0.042
74,4,Goto,2.828,1.001,3,0,0.042
75,4,Goto,2.801,1.075,3,0,0.042
76,4,Goto,2.772,1.148,3,0,0.042
77,4,Goto,2.741,1.22,3,0,0.042
78,4,Goto,2.708,1.292,3,0,0.042
79,4,Goto,2.673,1.362,3,0,0.042
80,4,Goto,2.636,1.431,3,0,0.042
81,4,Goto,2.598,1.5,3,0,0.042
82,4,Goto,2.558,1.567,3,0,0.042
83,4,Goto,2.516,1.634,3,0,0.042
84,4,Goto,2.472,1.699,3,0,0.042
85,4,Goto,2.427,1.763,3,0,0.042
86,4,Goto,2.38,1.826,3,0,0.042
87,4,Goto,2.331,1.888,3,0,0.042
88,4,Goto,2.281,1.948,3,0,0.042
