Step,Id,Command,X-R-L,Y-G,Z-B,Yaw-Intensity,Duration
1,9,Goto,0,5.121,5.121,0,0.042
2,9,Goto,0,5.176,5.065,0,0.042
3,9,Goto,0,5.229,5.007,0,0.042
4,9,Goto,0,5.281,4.948,0,0.042
5,9,Goto,0,5.331,4.888,0,0.042
6,9,Goto,0,5.38,4.826,0,0.042
7,9,Goto,0,5.427,4.763,0,0.042
8,9,Goto,0,5.472,4.699,0,0.042
9,9,Goto,0,5.516,4.634,0,0.042
10,9,Goto,0,5.558,4.567,0,0.042
11,9,Goto,0,5.598,4.5,0,0.042
12,9,Goto,0,5.636,4.431,0,0.042
13,9,Goto,0,5.673,4.362,0,0.042
14,9,Goto,0,5.708,4.292,0,0.042
15,9,Goto,0,5.741,4.22,0,0.042
16,9,Goto,0,5.772,4.148,0,0.042
17,9,Goto,0,5.801,4.075,0,0.042
18,9,Goto,0,5.828,4.001,0,0.042
19,9,Goto,0,5.853,3.927,0,0.042
20,9,Goto,0,5.876,3.852,0,0.042
21,9,Goto,0,5.898,3.776,0,0.042
22,9,Goto,0,5.917,3.7,0,0.042
23,9,Goto,0,5.934,3.624,0,0.042
24,9,Goto,0,5.95,3.547,0,0.042
25,9,Goto,0,5.963,3.469,0,0.042
26,9,Goto,0,5.974,3.392,0,0.042
27,9,Goto,0,5.984,3.314,0,0.042
28,9,Goto,0,5.991,3.235,0,0.042
29,9,Goto,0,5.996,3.157,0,0.042
30,9,Goto,0,5.999,3.079,0,0.042
31,9,Goto,0,6.0,3.0,0,0.042
32,9,Goto,0,5.999,2.921,0,0.042
33,9,Goto,0,5.996,2.843,0,0.042
34,9,Goto,0,5.991,2.765,0,0.042
35,9,Goto,0,5.984,2.686,0,0.042
36,9,Goto,0,5.974,2.608,0,0.042
37,9,Goto,0,5.963,2.531,0,0.042
38,9,Goto,0,5.95,2.453,0,0.042
39,9,Goto,0,5.934,2.376,0,0.042
40,9,Goto,0,5.917,2.3,0,0.042
41,9,Goto,0,5.898,2.224,0,0.042
42,9,Goto,0,5.876,2.148,0,0.042
43,9,Goto,0,5.853,2.073,0,0.042
44,9,Goto,0,5.828,1.999,0,0.042
45,9,Goto,0,5.801,1.925,0,0.042
