Step,Id,Command,X-R-L,Y-G,Z-B,Yaw-Intensity,Duration
1,8,Goto,0,6.0,3.0,0,0.042
2,8,Goto,0,5.999,2.921,0,0.042
3,8,Goto,0,5.996,2.843,0,0.042
4,8,Goto,0,5.991,2.765,0,0.042
5,8,Goto,0,5.984,2.686,0,0.042
6,8,Goto,0,5.974,2.608,0,0.042
7,8,Goto,0,5.963,2.531,0,0.042
8,8,Goto,0,5.95,2.453,0,0.042
9,8,Goto,0,5.934,2.376,0,0.042
10,8,Goto,0,5.917,2.3,0,0.042
11,8,Goto,0,5.898,2.224,0,0.042
12,8,Goto,0,5.876,2.148,0,0.042
13,8,Goto,0,5.853,2.073,0,0.042
14,8,Goto,0,5.828,1.999,0,0.042
15,8,Goto,0,5.801,1.925,0,0.042
16,8,Goto,0,5.772,1.852,0,0.042
17,8,Goto,0,5.741,1.78,0,0.042
18,8,Goto,0,5.708,1.708,0,0.042
19,8,Goto,0,5.673,1.638,0,0.042
20,8,Goto,0,5.636,1.569,0,0.042
21,8,Goto,0,5.598,1.5,0,0.042
22,8,Goto,0,5.558,1.433,0,0.042
23,8,Goto,0,5.516,1.366,0,0.042
24,8,Goto,0,5.472,1.301,0,0.042
25,8,Goto,0,5.427,1.237,0,0.042
26,8,Goto,0,5.38,1.174,0,0.042
27,8,Goto,0,5.331,1.112,0,0.042
28,8,Goto,0,5.281,1.052,0,0.042
29,8,Goto,0,5.229,0.993,0,0.042
30,8,Goto,0,5.176,0.935,0,0.042
31,8,Goto,0,5.121,0.879,0,0.042
32,8,Goto,0,5.065,0.824,0,0.042
33,8,Goto,0,5.007,0.771,0,0.042
34,8,Goto,0,4.948,0.719,0,0.042
35,8,Goto,0,4.888,0.669,0,0.042
36,8,Goto,0,4.826,0.62,0,0.042
37,8,Goto,0,4.763,0.573,0,0.042
38,8,Goto,0,4.699,0.528,0,0.042
39,8,Goto,0,4.634,0.484,0,0.042
40,8,Goto,0,4.567,0.442,0,0.042
41,8,Goto,0,4.5,0.402,0,0.042
42,8,Goto,0,4.431,0.364,0,0.042
43,8,Goto,0,4.362,0.327,0,0.042
44,8,Goto,0,4.292,0.292,0,0.042
45,8,Goto,0,4.22,0.259,0,0.042
46,8,Goto,0,4.148,0.228,0,0.042
47,8,Goto,0,4.075,0.199,0,0.042
48,8,Goto,0,4.001,0.172,0,0.042
49,8,Goto,0,3.927,0.147,0,0.042
50,8,Goto,0,3.852,0.124,0,0.042
51,8,Goto,0,3.776,0.102,0,0.042
52,8,Goto,0,3.7,0.083,0,0.042
53,8,Goto,0,3.624,0.066,0,0.042
54,8,Goto,0,3.547,0.05,0,0.042
55,8,Goto,0,3.469,0.037,0,0.042
56,8,Goto,0,3.392,0.026,0,0.042
57,8,Goto,0,3.314,0.016,0,0.042
58,8,Goto,0,3.235,0.009,0,0.042
59,8,Goto,0,3.157,0.004,0,0.042
60,8,Goto,0,3.079,0.001,0,0.042
61,8,Goto,0,3.0,0.0,0,0.042
62,8,Goto,0,2.921,0.001,0,0.042
63,8,Goto,0,2.843,0.004,0,0.042
64,8,Goto,0,2.765,0.009,0,0.042
65,8,Goto,0,2.686,0.016,0,0.042
66,8,Goto,0,2.608,0.026,0,0.042
67,8,Goto,0,2.531,0.037,0,0.042
68,8,Goto,0,2.453,0.05,0,0.042
69,8,Goto,0,2.376,0.066,0,0.042
70,8,Goto,0,2.3,0.083,0,0.042
71,8,Goto,0,2.224,0.102,0,0.042
72,8,Goto,0,2.148,0.124,0,0.042
73,8,Goto,0,2.073,0.147,0,0.042
74,8,Goto,0,1.999,0.172,0,0.042
75,8,Goto,0,1.925,0.199,0,0.042
76,8,Goto,0,1.852,0.228,0,0.042
77,8,Goto,0,1.78,0.259,0,0.042
78,8,Goto,0,1.708,0.292,0,0.042
79,8,Goto,0,1.638,0.327,0,0.042
80,8,Goto,0,1.569,0.364,0,0.042
81,8,Goto,0,1.5,0.402,0,0.042
82,8,Goto,0,1.433,0.442,0,0.042
83,8,Goto,0,1.366,0.484,0,0.042
84,8,Goto,0,1.301,0.528,0,0.042
85,8,Goto,0,1.237,0.573,0,0.042
86,8,Goto,0,1.174,0.62,0,0.042
87,8,Goto,0,1.112,0.669,0,0.042
88,8,Goto,0,1.052,0.719,0,0.042
89,8,Goto,0,0.993,0.771,0,0.042
90,8,Goto,0,0.935,0.824,0,0.042
91,8,Goto,0,0.879,0.879,0,0.042
92,8,Goto,0,0.824,0.935,0,0.042
93,8,Goto,0,0.771,0.993,0,0.042
94,8,Goto,0,0.719,1.052,0,0.042
95,8,Goto,0,0.669,1.112,0,0.042
96,8,Goto,0,0.62,1.174,0,0.042
97,8,Goto,0,0.573,1.237,0,0.042
98,8,Goto,0,0.528,1.301,0,0.042
99,8,Goto,0,0.484,1.366,0,0.042
100,8,Goto,0,0.442,1.433,0,0.042
101,8,Goto,0,0.402,1.5,0,0.042
102,8,Goto,0,0.364,1.569,0,0.042
103,8,Goto,0,0.327,1.638,0,0.042
104,8,Goto,0,0.292,1.708,0,0.042
105,8,Goto,0,0.259,1.78,0,0.042
106,8,Goto,0,0.228,1.852,0,0.042
107,8,Goto,0,0.199,1.925,0,0.042
108,8,Goto,0,0.172,1.999,0,0.042
109,8,Goto,0,0.147,2.073,0,0.042
110,8,Goto,0,0.124,2.148,0,0.042
111,8,Goto,0,0.102,2.224,0,0.042
112,8,Goto,0,0.083,2.3,0,0.042
113,8,Goto,0,0.066,2.376,0,0.042
114,8,Goto,0,0.05,2.453,0,0.042
115,8,Goto,0,0.037,2.531,0,0.042
116,8,Goto,0,0.026,2.608,0,0.042
117,8,Goto,0,0.016,2.686,0,0.042
118,8,Goto,0,0.009,2.765,0,0.042
119,8,Goto,0,0.004,2.843,0,0.042
120,8,Goto,0,0.001,2.921,0,0.042
121,8,Goto,0,0.0,3.0,0,0.042
122,8,Goto,0,0.001,3.079,0,0.042
123,8,Goto,0,0.004,3.157,0,0.042
124,8,Goto,0,0.009,3.235,0,0.042
125,8,Goto,0,0.016,3.314,0,0.042
126,8,Goto,0,0.026,3.392,0,0.042
127,8,Goto,0,0.037,3.469,0,0.042
128,8,Goto,0,0.05,3.547,0,0.042
129,8,Goto,0,0.066,3.624,0,0.042
130,8,Goto,0,0.083,3.7,0,0.042
131,8,Goto,0,0.102,3.776,0,0.042
132,8,Goto,0,0.124,3.852,0,0.042
133,8,Goto,0,0.147,3.927,0,0.042
134,8,Goto,0,0.172,4.001,0,0.042
135,8,Goto,0,0.199,4.075,0,0.042
136,8,Goto,0,0.228,4.148,0,0.042
137,8,Goto,0,0.259,4.22,0,0.042
138,8,Goto,0,0.292,4.292,0,0.042
139,8,Goto,0,0.327,4.362,0,0.042
140,8,Goto,0,0.364,4.431,0,0.042
141,8,Goto,0,0.402,4.5,0,0.042
142,8,Goto,0,0.442,4.567,0,0.042
143,8,Goto,0,0.484,4.634,0,0.042
144,8,Goto,0,0.528,4.699,0,0.042
145,8,Goto,0,0.573,4.763,0,0.042
146,8,Goto,0,0.62,4.826,0,0.042
147,8,Goto,0,0.669,4.888,0,0.042
148,8,Goto,0,0.719,4.948,0,0.042
149,8,Goto,0,0.771,5.007,0,0.042
150,8,Goto,0,0.824,5.065,0,0.042
151,8,Goto,0,0.879,5.121,0,0.042
152,8,Goto,0,0.935,5.176,0,0.042
153,8,Goto,0,0.993,5.229,0,0.042
154,8,Goto,0,1.052,5.281,0,0.042
155,8,Goto,0,1.112,5.331,0,0.042
156,8,Goto,0,1.174,5.38,0,0.042
157,8,Goto,0,1.237,5.427,0,0.042
