Step,Id,Command,X-R-L,Y-G,Z-B,Yaw-Intensity,Duration
1,14,Goto,0,3.0,0.0,0,0.042
2,14,Goto,0,2.921,0.001,0,0.042
3,14,Goto,0,2.843,0.004,0,0.042
4,14,Goto,0,2.765,0.009,0,0.042
5,14,Goto,0,2.686,0.016,0,0.042
6,14,Goto,0,2.608,0.026,0,0.042
7,14,Goto,0,2.531,0.037,0,0.042
8,14,Goto,0,2.453,0.05,0,0.042
9,14,Goto,0,2.376,0.066,0,0.042
10,14,Goto,0,2.3,0.083,0,0.042
11,14,Goto,0,2.224,0.102,0,0.042
12,14,Goto,0,2.148,0.124,0,0.042
13,14,Goto,0,2.073,0.147,0,0.042
14,14,Goto,0,1.999,0.172,0,0.042
15,14,Goto,0,1.925,0.199,0,0.042
16,14,Goto,0,1.852,0.228,0,0.042
17,14,Goto,0,1.78,0.259,0,0.042
18,14,Goto,0,1.708,0.292,0,0.042
19,14,Goto,0,1.638,0.327,0,0.042
20,14,Goto,0,1.569,0.364,0,0.042
21,14,Goto,0,1.5,0.402,0,0.042
22,14,Goto,0,1.433,0.442,0,0.042
23,14,Goto,0,1.366,0.484,0,0.042
24,14,Goto,0,1.301,0.528,0,0.042
25,14,Goto,0,1.237,0.573,0,0.042
26,14,Goto,0,1.174,0.62,0,0.042
27,14,Goto,0,1.112,0.669,0,0.042
28,14,Goto,0,1.052,0.719,0,0.042
29,14,Goto,0,0.993,0.771,0,0.042
30,14,Goto,0,0.935,0.824,0,0.042
31,14,Goto,0,0.879,0.879,0,0.042
32,14,Goto,0,0.824,0.935,0,0.042
33,14,Goto,0,0.771,0.993,0,0.042
34,14,Goto,0,0.719,1.052,0,0.042
35,14,Goto,0,0.669,1.112,0,0.042
36,14,Goto,0,0.62,1.174,0,0.042
37,14,Goto,0,0.573,1.237,0,0.042
38,14,Goto,0,0.528,1.301,0,0.042
39,14,Goto,0,0.484,1.366,0,0.042
40,14,Goto,0,0.442,1.433,0,0.042
41,14,Goto,0,0.402,1.5,0,0.042
42,14,Goto,0,0.364,1.569,0,0.042
43,14,Goto,0,0.327,1.638,0,0.042
44,14,Goto,0,0.292,1.708,0,0.042
45,14,Goto,0,0.259,1.78,0,0.042
46,14,Goto,0,0.228,1.852,0,0.042
47,14,Goto,0,0.199,1.925,0,0.042
48,14,Goto,0,0.172,1.999,0,0.042
49,14,Goto,0,0.147,2.073,0,0.042
50,14,Goto,0,0.124,2.148,0,0.042
51,14,Goto,0,0.102,2.224,0,0.042
52,14,Goto,0,0.083,2.3,0,0.042
53,14,Goto,0,0.066,2.376,0,0.042
54,14,Goto,0,0.05,2.453,0,0.042
55,14,Goto,0,0.037,2.531,0,0.042
56,14,Goto,0,0.026,2.608,0,0.042
57,14,Goto,0,0.016,2.686,0,0.042
58,14,Goto,0,0.009,2.765,0,0.042
59,14,Goto,0,0.004,2.843,0,0.042
60,14,Goto,0,0.001,2.921,0,0.042
61,14,Goto,0,0.0,3.0,0,0.042
62,14,Goto,0,0.001,3.079,0,0.042
63,14,Goto,0,0.004,3.157,0,0.042
64,14,Goto,0,0.009,3.235,0,0.042
65,14,Goto,0,0.016,3.314,0,0.042
66,14,Goto,0,0.026,3.392,0,0.042
67,14,Goto,0,0.037,3.469,0,0.042
68,14,Goto,0,0.05,3.547,0,0.042
69,14,Goto,0,0.066,3.624,0,0.042
70,14,Goto,0,0.083,3.7,0,0.042
71,14,Goto,0,0.102,3.776,0,0.042
72,14,Goto,0,0.124,3.852,0,0.042
73,14,Goto,0,0.147,3.927,0,0.042
74,14,Goto,0,0.172,4.001,0,0.042
75,14,Goto,0,0.199,4.075,0,0.042
76,14,Goto,0,0.228,4.148,0,0.042
77,14,Goto,0,0.259,4.22,0,0.042
78,14,Goto,0,0.292,4.292,0,0.042
79,14,Goto,0,0.327,4.362,0,0.042
80,14,Goto,0,0.364,4.431,0,0.042
81,14,Goto,0,0.402,4.5,0,0.042
82,14,Goto,0,0.442,4.567,0,0.042
83,14,Goto,0,0.484,4.634,0,0.042
84,14,Goto,0,0.528,4.699,0,0.042
85,14,Goto,0,0.573,4.763,0,0.042
86,14,Goto,0,0.62,4.826,0,0.042
87,14,Goto,0,0.669,4.888,0,0.042
88,14,Goto,0,0.719,4.948,0,0.042
89,14,Goto,0,0.771,5.007,0,0.042
90,14,Goto,0,0.824,5.065,0,0.042
91,14,Goto,0,0.879,5.121,0,0.042
92,14,Goto,0,0.935,5.176,0,0.042
93,14,Goto,0,0.993,5.229,0,0.042
94,14,Goto,0,1.052,5.281,0,0.042
95,14,Goto,0,1.112,5.331,0,0.042
96,14,Goto,0,1.174,5.38,0,0.042
97,14,Goto,0,1.237,5.427,0,0.042
98,14,Goto,0,1.301,5.472,0,0.042
