Step,Id,Command,X-R-L,Y-G,Z-B,Yaw-Intensity,Duration
0,6,Ring,0,255,0,1,0
24,6,Ring,0,0,255,1,0
48,6,Ring,255,255,255,1,0
72,6,Ring,255,0,0,1,0
96,6,Ring,0,255,0,1,0
120,6,Ring,0,0,255,1,0
144,6,Ring,255,255,255,1,0
168,6,Ring,255,0,0,1,0
192,6,Ring,0,255,0,1,0
216,6,Ring,0,0,255,1,0
240,6,Ring,255,255,255,1,0
