Step,Id,Command,X-R-L,Y-G,Z-B,Yaw-Intensity,Duration
1,7,Goto,-2.121,2.121,3,0,0.042
2,7,Goto,-2.176,2.065,3,0,0.042
3,7,Goto,-2.229,2.007,3,0,0.042
4,7,Goto,-2.281,1.948,3,0,0.042
5,7,Goto,-2.331,1.888,3,0,0.042
6,7,Goto,-2.38,1.826,3,0,0.042
7,7,Goto,-2.427,1.763,3,0,0.042
8,7,Goto,-2.472,1.699,3,0,0.042
9,7,Goto,-2.516,1.634,3,0,0.042
10,7,Goto,-2.558,1.567,3,0,0.042
11,7,Goto,-2.598,1.5,3,0,0.042
12,7,Goto,-2.636,1.431,3,0,0.042
13,7,Goto,-2.673,1.362,3,0,0.042
14,7,Goto,-2.708,1.292,3,0,0.042
15,7,Goto,-2.741,1.22,3,0,0.042
16,7,Goto,-2.772,1.148,3,0,0.042
17,7,Goto,-2.801,1.075,3,0,0.042
18,7,Goto,-2.828,1.001,3,0,0.042
19,7,Goto,-2.853,0.927,3,0,0.042
20,7,Goto,-2.876,0.852,3,0,0.042
21,7,Goto,-2.898,0.776,3,0,0.042
22,7,Goto,-2.917,0.7,3,0,0.042
23,7,Goto,-2.934,0.624,3,0,0.042
24,7,Goto,-2.95,0.547,3,0,0.042
25,7,Goto,-2.963,0.469,3,0,0.042
26,7,Goto,-2.974,0.392,3,0,0.042
27,7,Goto,-2.984,0.314,3,0,0.042
28,7,Goto,-2.991,0.235,3,0,0.042
29,7,Goto,-2.996,0.157,3,0,0.042
30,7,Goto,-2.999,0.079,3,0,0.042
31,7,Goto,-3.0,0.0,3,0,0.042
32,7,Goto,-2.999,-0.079,3,0,0.042
33,7,Goto,-2.996,-0.157,3,0,0.042
34,7,Goto,-2.991,-0.235,3,0,0.042
35,7,Goto,-2.984,-0.314,3,0,0.042
36,7,Goto,-2.974,-0.392,3,0,0.042
37,7,Goto,-2.963,-0.469,3,0,0.042
38,7,Goto,-2.95,-0.547,3,0,0.042
39,7,Goto,-2.934,-0.624,3,0,0.042
40,7,Goto,-2.917,-0.7,3,0,0.042
41,7,Goto,-2.898,-0.776,3,0,0.042
42,7,Goto,-2.876,-0.852,3,0,0.042
43,7,Goto,-2.853,-0.927,3,0,0.042
44,7,Goto,-2.828,-1.001,3,0,0.042
45,7,Goto,-2.801,-1.075,3,0,0.042
46,7,Goto,-2.772,-1.148,3,0,0.042
47,7,Goto,-2.741,-1.22,3,0,0.042
48,7,Goto,-2.708,-1.292,3,0,0.042
49,7,Goto,-2.673,-1.362,3,0,0.042
50,7,Goto,-2.636,-1.431,3,0,0.042
51,7,Goto,-2.598,-1.5,3,0,0.042
52,7,Goto,-2.558,-1.567,3,0,0.042
53,7,Goto,-2.516,-1.634,3,0,0.042
54,7,Goto,-2.472,-1.699,3,0,0.042
55,7,Goto,-2.427,-1.763,3,0,0.042
56,7,Goto,-2.38,-1.826,3,0,0.042
57,7,Goto,-2.331,-1.888,3,0,0.042
58,7,Goto,-2.281,-1.948,3,0,0.042
59,7,Goto,-2.229,-2.007,3,0,0.042
60,7,Goto,-2.176,-2.065,3,0,0.042
61,7,Goto,-2.121,-2.121,3,0,0.042
62,7,Goto,-2.065,-2.176,3,0,0.042
63,7,Goto,-2.007,-2.229,3,0,0.042
64,7,Goto,-1.948,-2.281,3,0,0.042
65,7,Goto,-1.888,-2.331,3,0,0.042
66,7,Goto,-1.826,-2.38,3,0,0.042
67,7,Goto,-1.763,-2.427,3,0,0.042
68,7,Goto,-1.699,-2.472,3,0,0.042
69,7,Goto,-1.634,-2.516,3,0,0.042
70,7,Goto,-1.567,-2.558,3,0,0.042
71,7,Goto,-1.5,-2.598,3,0,0.042
72,7,Goto,-1.431,-2.636,3,0,0.042
73,7,Goto,-1.362,-2.673,3,0,0.042
74,7,Goto,-1.292,-2.708,3,0,0.042
75,7,Goto,-1.22,-2.741,3,0,0.042
76,7,Goto,-1.148,-2.772,3,0,0.042
77,7,Goto,-1.075,-2.801,3,0,0.042
78,7,Goto,-1.001,-2.828,3,0,0.042
79,7,Goto,-0.927,-2.853,3,0,0.042
80,7,Goto,-0.852,-2.876,3,0,0.042
81,7,Goto,-0.776,-2.898,3,0,0.042
82,7,Goto,-0.7,-2.917,3,0,0.042
83,7,Goto,-0.624,-2.934,3,0,0.042
84,7,Goto,-0.547,-2.95,3,0,0.042
85,7,Goto,-0.469,-2.963,3,0,0.042
86,7,Goto,-0.392,-2.974,3,0,0.042
87,7,Goto,-0.314,-2.984,3,0,0.042
88,7,Goto,-0.235,-2.991,3,0,0.042
89,7,Goto,-0.157,-2.996,3,0,0.042
90,7,Goto,-0.079,-2.999,3,0,0.042
91,7,Goto,0.0,-3.0,3,0,0.042
92,7,Goto,0.079,-2.999,3,0,0.042
93,7,Goto,0.157,-2.996,3,0,0.042
94,7,Goto,0.235,-2.991,3,0,0.042
95,7,Goto,0.314,-2.984,3,0,0.042
96,7,Goto,0.392,-2.974,3,0,0.042
97,7,Goto,0.469,-2.963,3,0,0.042
98,7,Goto,0.547,-2.95,3,0,0.042
99,7,Goto,0.624,-2.934,3,0,0.042
100,7,Goto,0.7,-2.917,3,0,0.042
101,7,Goto,0.776,-2.898,3,0,0.042
102,7,Goto,0.852,-2.876,3,0,0.042
103,7,Goto,0.927,-2.853,3,0,0.042
104,7,Goto,1.001,-2.828,3,0,0.042
105,7,Goto,1.075,-2.801,3,0,0.042
106,7,Goto,1.148,-2.772,3,0,0.042
107,7,Goto,1.22,-2.741,3,0,0.042
108,7,Goto,1.292,-2.708,3,0,0.042
109,7,Goto,1.362,-2.673,3,0,0.042
110,7,Goto,1.431,-2.636,3,0,0.042
111,7,Goto,1.5,-2.598,3,0,0.042
112,7,Goto,1.567,-2.558,3,0,0.042
113,7,Goto,1.634,-2.516,3,0,0.042
114,7,Goto,1.699,-2.472,3,0,0.042
115,7,Goto,1.763,-2.427,3,0,0.042
116,7,Goto,1.826,-2.38,3,0,0.042
117,7,Goto,1.888,-2.331,3,0,0.042
118,7,Goto,1.948,-2.281,3,0,0.042
119,7,Goto,2.007,-2.229,3,0,0.042
120,7,Goto,2.065,-2.176,3,0,0.042
121,7,Goto,2.121,-2.121,3,0,0.042
122,7,Goto,2.176,-2.065,3,0,0.042
123,7,Goto,2.229,-2.007,3,0,0.042
124,7,Goto,2.281,-1.948,3,0,0.042
125,7,Goto,2.331,-1.888,3,0,0.042
126,7,Goto,2.38,-1.826,3,0,0.042
