Step,Id,Command,X-R-L,Y-G,Z-B,Yaw-Intensity,Duration
1,13,Goto,0,0.879,0.879,0,0.042
2,13,Goto,0,0.824,0.935,0,0.042
3,13,Goto,0,0.771,0.993,0,0.042
4,13,Goto,0,0.719,1.052,0,0.042
5,13,Goto,0,0.669,1.112,0,0.042
6,13,Goto,0,0.62,1.174,0,0.042
7,13,Goto,0,0.573,1.237,0,0.042
8,13,Goto,0,0.528,1.301,0,0.042
9,13,Goto,0,0.484,1.366,0,0.042
10,13,Goto,0,0.442,1.433,0,0.042
11,13,Goto,0,0.402,1.5,0,0.042
12,13,Goto,0,0.364,1.569,0,0.042
13,13,Goto,0,0.327,1.638,0,0.042
14,13,Goto,0,0.292,1.708,0,0.042
15,13,Goto,0,0.259,1.78,0,0.042
16,13,Goto,0,0.228,1.852,0,0.042
17,13,Goto,0,0.199,1.925,0,0.042
18,13,Goto,0,0.172,1.999,0,0.042
19,13,Goto,0,0.147,2.073,0,0.042
20,13,Goto,0,0.124,2.148,0,0.042
21,13,Goto,0,0.102,2.224,0,0.042
22,13,Goto,0,0.083,2.3,0,0.042
23,13,Goto,0,0.066,2.376,0,0.042
24,13,Goto,0,0.05,2.453,0,0.042
25,13,Goto,0,0.037,2.531,0,0.042
26,13,Goto,0,0.026,2.608,0,0.042
27,13,Goto,0,0.016,2.686,0,0.042
28,13,Goto,0,0.009,2.765,0,0.042
29,13,Goto,0,0.004,2.843,0,0.042
30,13,Goto,0,0.001,2.921,0,0.042
31,13,Goto,0,0.0,3.0,0,0.042
32,13,Goto,0,0.001,3.079,0,0.042
33,13,Goto,0,0.004,3.157,0,0.042
34,13,Goto,0,0.009,3.235,0,0.042
35,13,Goto,0,0.016,3.314,0,0.042
36,13,Goto,0,0.026,3.392,0,0.042
37,13,Goto,0,0.037,3.469,0,0.042
38,13,Goto,0,0.05,3.547,0,0.042
39,13,Goto,0,0.066,3.624,0,0.042
40,13,Goto,0,0.083,3.7,0,0.042
41,13,Goto,0,0.102,3.776,0,0.042
42,13,Goto,0,0.124,3.852,0,0.042
43,13,Goto,0,0.147,3.927,0,0.042
44,13,Goto,0,0.172,4.001,0,0.042
45,13,Goto,0,0.199,4.075,0,0.042
46,13,Goto,0,0.228,4.148,0,0.042
47,13,Goto,0,0.259,4.22,0,0.042
48,13,Goto,0,0.292,4.292,0,0.042
49,13,Goto,0,0.327,4.362,0,0.042
50,13,Goto,0,0.364,4.431,0,0.042
51,13,Goto,0,0.402,4.5,0,0.042
52,13,Goto,0,0.442,4.567,0,0.042
53,13,Goto,0,0.484,4.634,0,0.042
54,13,Goto,0,0.528,4.699,0,0.042
55,13,Goto,0,0.573,4.763,0,0.042
56,13,Goto,0,0.62,4.826,0,0.042
57,13,Goto,0,0.669,4.888,0,0.042
58,13,Goto,0,0.719,4.948,0,0.042
59,13,Goto,0,0.771,5.007,0,0.042
60,13,Goto,0,0.824,5.065,0,0.042
61,13,Goto,0,0.879,5.121,0,0.042
62,13,Goto,0,0.935,5.176,0,0.042
63,13,Goto,0,0.993,5.229,0,0.042
64,13,Goto,0,1.052,5.281,0,0.042
65,13,Goto,0,1.112,5.331,0,0.042
66,13,Goto,0,1.174,5.38,0,0.042
67,13,Goto,0,1.237,5.427,0,0.042
68,13,Goto,0,1.301,5.472,0,0.042
69,13,Goto,0,1.366,5.516,0,0.042
70,13,Goto,0,1.433,5.558,0,0.042
71,13,Goto,0,1.5,5.598,0,0.042
72,13,Goto,0,1.569,5.636,0,0.042
73,13,Goto,0,1.638,5.673,0,0.042
74,13,Goto,0,1.708,5.708,0,0.042
75,13,Goto,0,1.78,5.741,0,0.042
76,13,Goto,0,1.852,5.772,0,0.042
77,13,Goto,0,1.925,5.801,0,0.042
78,13,Goto,0,1.999,5.828,0,0.042
79,13,Goto,0,2.073,5.853,0,0.042
80,13,Goto,0,2.148,5.876,0,0.042
81,13,Goto,0,2.224,5.898,0,0.042
82,13,Goto,0,2.3,5.917,0,0.042
83,13,Goto,0,2.376,5.934,0,0.042
84,13,Goto,0,2.453,5.95,0,0.042
85,13,Goto,0,2.531,5.963,0,0.042
86,13,Goto,0,2.608,5.974,0,0.042
87,13,Goto,0,2.686,5.984,0,0.042
88,13,Goto,0,2.765,5.991,0,0.042
89,13,Goto,0,2.843,5.996,0,0.042
90,13,Goto,0,2.921,5.999,0,0.042
91,13,Goto,0,3.0,6.0,0,0.042
92,13,Goto,0,3.079,5.999,0,0.042
93,13,Goto,0,3.157,5.996,0,0.042
94,13,Goto,0,3.235,5.991,0,0.042
95,13,Goto,0,3.314,5.984,0,0.042
96,13,Goto,0,3.392,5.974,0,0.042
97,13,Goto,0,3.469,5.963,0,0.042
98,13,Goto,0,3.547,5.95,0,0.042
99,13,Goto,0,3.624,5.934,0,0.042
100,13,Goto,0,3.7,5.917,0,0.042
101,13,Goto,0,3.776,5.898,0,0.042
102,13,Goto,0,3.852,5.876,0,0.042
103,13,Goto,0,3.927,5.853,0,0.042
104,13,Goto,0,4.001,5.828,0,0.042
105,13,Goto,0,4.075,5.801,0,0.042
106,13,Goto,0,4.148,5.772,0,0.042
107,13,Goto,0,4.22,5.741,0,0.042
108,13,Goto,0,4.292,5.708,0,0.042
109,13,Goto,0,4.362,5.673,0,0.042
110,13,Goto,0,4.431,5.636,0,0.042
111,13,Goto,0,4.5,5.598,0,0.042
112,13,Goto,0,4.567,5.558,0,0.042
113,13,Goto,0,4.634,5.516,0,0.042
