Step,Id,Command,X-R-L,Y-G,Z-B,Yaw-Intensity,Duration
1,12,Goto,0,0.0,3.0,0,0.042
2,12,Goto,0,0.001,3.079,0,0.042
3,12,Goto,0,0.004,3.157,0,0.042
4,12,Goto,0,0.009,3.235,0,0.042
5,12,Goto,0,0.016,3.314,0,0.042
6,12,Goto,0,0.026,3.392,0,0.042
7,12,Goto,0,0.037,3.469,0,0.042
8,12,Goto,0,0.05,3.547,0,0.042
9,12,Goto,0,0.066,3.624,0,0.042
10,12,Goto,0,0.083,3.7,0,0.042
11,12,Goto,0,0.102,3.776,0,0.042
12,12,Goto,0,0.124,3.852,0,0.042
13,12,Goto,0,0.147,3.927,0,0.042
14,12,Goto,0,0.172,4.001,0,0.042
15,12,Goto,0,0.199,4.075,0,0.042
16,12,Goto,0,0.228,4.148,0,0.042
17,12,Goto,0,0.259,4.22,0,0.042
18,12,Goto,0,0.292,4.292,0,0.042
19,12,Goto,0,0.327,4.362,0,0.042
20,12,Goto,0,0.364,4.431,0,0.042
21,12,Goto,0,0.402,4.5,0,0.042
22,12,Goto,0,0.442,4.567,0,0.042
23,12,Goto,0,0.484,4.634,0,0.042
24,12,Goto,0,0.528,4.699,0,0.042
25,12,Goto,0,0.573,4.763,0,0.042
26,12,Goto,0,0.62,4.826,0,0.042
27,12,Goto,0,0.669,4.888,0,0.042
28,12,Goto,0,0.719,4.948,0,0.042
29,12,Goto,0,0.771,5.007,0,0.042
30,12,Goto,0,0.824,5.065,0,0.042
31,12,Goto,0,0.879,5.121,0,0.042
32,12,Goto,0,0.935,5.176,0,0.042
33,12,Goto,0,0.993,5.229,0,0.042
34,12,Goto,0,1.052,5.281,0,0.042
35,12,Goto,0,1.112,5.331,0,0.042
36,12,Goto,0,1.174,5.38,0,0.042
37,12,Goto,0,1.237,5.427,0,0.042
38,12,Goto,0,1.301,5.472,0,0.042
39,12,Goto,0,1.366,5.516,0,0.042
40,12,Goto,0,1.433,5.558,0,0.042
41,12,Goto,0,1.5,5.598,0,0.042
42,12,Goto,0,1.569,5.636,0,0.042
43,12,Goto,0,1.638,5.673,0,0.042
44,12,Goto,0,1.708,5.708,0,0.042
45,12,Goto,0,1.78,5.741,0,0.042
46,12,Goto,0,1.852,5.772,0,0.042
47,12,Goto,0,1.925,5.801,0,0.042
48,12,Goto,0,1.999,5.828,0,0.042
