Step,Id,Command,X-R-L,Y-G,Z-B,Yaw-Intensity,Duration
1,11,Goto,0,0.879,5.121,0,0.042
2,11,Goto,0,0.935,5.176,0,0.042
3,11,Goto,0,0.993,5.229,0,0.042
4,11,Goto,0,1.052,5.281,0,0.042
5,11,Goto,0,1.112,5.331,0,0.042
6,11,Goto,0,1.174,5.38,0,0.042
7,11,Goto,0,1.237,5.427,0,0.042
8,11,Goto,0,1.301,5.472,0,0.042
9,11,Goto,0,1.366,5.516,0,0.042
10,11,Goto,0,1.433,5.558,0,0.042
11,11,Goto,0,1.5,5.598,0,0.042
12,11,Goto,0,1.569,5.636,0,0.042
13,11,Goto,0,1.638,5.673,0,0.042
14,11,Goto,0,1.708,5.708,0,0.042
15,11,Goto,0,1.78,5.741,0,0.042
16,11,Goto,0,1.852,5.772,0,0.042
17,11,Goto,0,1.925,5.801,0,0.042
18,11,Goto,0,1.999,5.828,0,0.042
19,11,Goto,0,2.073,5.853,0,0.042
20,11,Goto,0,2.148,5.876,0,0.042
21,11,Goto,0,2.224,5.898,0,0.042
22,11,Goto,0,2.3,5.917,0,0.042
23,11,Goto,0,2.376,5.934,0,0.042
24,11,Goto,0,2.453,5.95,0,0.042
25,11,Goto,0,2.531,5.963,0,0.042
26,11,Goto,0,2.608,5.974,0,0.042
27,11,Goto,0,2.686,5.984,0,0.042
28,11,Goto,0,2.765,5.991,0,0.042
29,11,Goto,0,2.843,5.996,0,0.042
30,11,Goto,0,2.921,5.999,0,0.042
31,11,Goto,0,3.0,6.0,0,0.042
32,11,Goto,0,3.079,5.999,0,0.042
33,11,Goto,0,3.157,5.996,0,0.042
34,11,Goto,0,3.235,5.991,0,0.042
35,11,Goto,0,3.314,5.984,0,0.042
36,11,Goto,0,3.392,5.974,0,0.042
37,11,Goto,0,3.469,5.963,0,0.042
38,11,Goto,0,3.547,5.95,0,0.042
39,11,Goto,0,3.624,5.934,0,0.042
40,11,Goto,0,3.7,5.917,0,0.042
41,11,Goto,0,3.776,5.898,0,0.042
42,11,Goto,0,3.852,5.876,0,0.042
43,11,Goto,0,3.927,5.853,0,0.042
