Step,Id,Command,X-R-L,Y-G,Z-B,Yaw-Intensity,Duration
0,2,Ring,0,255,0,1,0
24,2,Ring,0,0,255,1,0
48,2,Ring,255,255,255,1,0
72,2,Ring,255,0,0,1,0
96,2,Ring,0,255,0,1,0
120,2,Ring,0,0,255,1,0
144,2,Ring,255,255,255,1,0
168,2,Ring,255,0,0,1,0
192,2,Ring,0,255,0,1,0
216,2,Ring,0,0,255,1,0
240,2,Ring,255,255,255,1,0
