Step,Id,Command,X-R-L,Y-G,Z-B,Yaw-Intensity,Duration
1,0,Goto,0.0,3.0,3,0,0.042
2,0,Goto,-0.079,2.999,3,0,0.042
3,0,Goto,-0.157,2.996,3,0,0.042
4,0,Goto,-0.235,2.991,3,0,0.042
5,0,Goto,-0.314,2.984,3,0,0.042
6,0,Goto,-0.392,2.974,3,0,0.042
7,0,Goto,-0.469,2.963,3,0,0.042
8,0,Goto,-0.547,2.95,3,0,0.042
9,0,Goto,-0.624,2.934,3,0,0.042
10,0,Goto,-0.7,2.917,3,0,0.042
11,0,Goto,-0.776,2.898,3,0,0.042
12,0,Goto,-0.852,2.876,3,0,0.042
13,0,Goto,-0.927,2.853,3,0,0.042
14,0,Goto,-1.001,2.828,3,0,0.042
15,0,Goto,-1.075,2.801,3,0,0.042
16,0,Goto,-1.148,2.772,3,0,0.042
17,0,Goto,-1.22,2.741,3,0,0.042
18,0,Goto,-1.292,2.708,3,0,0.042
19,0,Goto,-1.362,2.673,3,0,0.042
20,0,Goto,-1.431,2.636,3,0,0.042
21,0,Goto,-1.5,2.598,3,0,0.042
22,0,Goto,-1.567,2.558,3,0,0.042
23,0,Goto,-1.634,2.516,3,0,0.042
24,0,Goto,-1.699,2.472,3,0,0.042
25,0,Goto,-1.763,2.427,3,0,0.042
26,0,Goto,-1.826,2.38,3,0,0.042
27,0,Goto,-1.888,2.331,3,0,0.042
28,0,Goto,-1.948,2.281,3,0,0.042
29,0,Goto,-2.007,2.229,3,0,0.042
30,0,Goto,-2.065,2.176,3,0,0.042
31,0,Goto,-2.121,2.121,3,0,0.042
32,0,Goto,-2.176,2.065,3,0,0.042
33,0,Goto,-2.229,2.007,3,0,0.042
34,0,Goto,-2.281,1.948,3,0,0.042
35,0,Goto,-2.331,1.888,3,0,0.042
36,0,Goto,-2.38,1.826,3,0,0.042
37,0,Goto,-2.427,1.763,3,0,0.042
38,0,Goto,-2.472,1.699,3,0,0.042
39,0,Goto,-2.516,1.634,3,0,0.042
