Step,Id,Command,X-R-L,Y-G,Z-B,Yaw-Intensity,Duration
160,1,Goto,-0.6,0.0,1,0,0.042
161,1,Goto,-0.599,0.031,1,0,0.042
162,1,Goto,-0.597,0.063,1,0,0.042
163,1,Goto,-0.593,0.094,1,0,0.042
164,1,Goto,-0.587,0.125,1,0,0.042
165,1,Goto,-0.58,0.155,1,0,0.042
166,1,Goto,-0.571,0.185,1,0,0.042
167,1,Goto,-0.56,0.215,1,0,0.042
168,1,Goto,-0.548,0.244,1,0,0.042
169,1,Goto,-0.535,0.272,1,0,0.042
170,1,Goto,-0.52,0.3,1,0,0.042
171,1,Goto,-0.503,0.327,1,0,0.042
172,1,Goto,-0.485,0.353,1,0,0.042
173,1,Goto,-0.466,0.378,1,0,0.042
174,1,Goto,-0.446,0.401,1,0,0.042
175,1,Goto,-0.424,0.424,1,0,0.042
176,1,Goto,-0.401,0.446,1,0,0.042
177,1,Goto,-0.378,0.466,1,0,0.042
178,1,Goto,-0.353,0.485,1,0,0.042
179,1,Goto,-0.327,0.503,1,0,0.042
180,1,Goto,-0.3,0.52,1,0,0.042
181,1,Goto,-0.272,0.535,1,0,0.042
182,1,Goto,-0.244,0.548,1,0,0.042
183,1,Goto,-0.215,0.56,1,0,0.042
184,1,Goto,-0.185,0.571,1,0,0.042
185,1,Goto,-0.155,0.58,1,0,0.042
186,1,Goto,-0.125,0.587,1,0,0.042
187,1,Goto,-0.094,0.593,1,0,0.042
188,1,Goto,-0.063,0.597,1,0,0.042
189,1,Goto,-0.031,0.599,1,0,0.042
190,1,Goto,0.0,0.6,1,0,0.042
191,1,Goto,0.031,0.599,1,0,0.042
192,1,Goto,0.063,0.597,1,0,0.042
193,1,Goto,0.094,0.593,1,0,0.042
194,1,Goto,0.125,0.587,1,0,0.042
195,1,Goto,0.155,0.58,1,0,0.042
196,1,Goto,0.185,0.571,1,0,0.042
197,1,Goto,0.215,0.56,1,0,0.042
198,1,Goto,0.244,0.548,1,0,0.042
199,1,Goto,0.272,0.535,1,0,0.042
200,1,Goto,0.3,0.52,1,0,0.042
201,1,Goto,0.327,0.503,1,0,0.042
202,1,Goto,0.353,0.485,1,0,0.042
203,1,Goto,0.378,0.466,1,0,0.042
