Step,Id,Command,X-R-L,Y-G,Z-B,Yaw-Intensity,Duration
320,0,Goto,0,0.6,1.5,0,0.042
321,0,Goto,0,0.599,1.531,0,0.042
322,0,Goto,0,0.597,1.563,0,0.042
323,0,Goto,0,0.593,1.594,0,0.042
324,0,Goto,0,0.587,1.625,0,0.042
325,0,Goto,0,0.58,1.655,0,0.042
326,0,Goto,0,0.571,1.685,0,0.042
327,0,Goto,0,0.56,1.715,0,0.042
328,0,Goto,0,0.548,1.744,0,0.042
329,0,Goto,0,0.535,1.772,0,0.042
330,0,Goto,0,0.52,1.8,0,0.042
331,0,Goto,0,0.503,1.827,0,0.042
332,0,Goto,0,0.485,1.853,0,0.042
333,0,Goto,0,0.466,1.878,0,0.042
334,0,Goto,0,0.446,1.901,0,0.042
335,0,Goto,0,0.424,1.924,0,0.042
336,0,Goto,0,0.401,1.946,0,0.042
337,0,Goto,0,0.378,1.966,0,0.042
338,0,Goto,0,0.353,1.985,0,0.042
339,0,Goto,0,0.327,2.003,0,0.042
340,0,Goto,0,0.3,2.02,0,0.042
341,0,Goto,0,0.272,2.035,0,0.042
342,0,Goto,0,0.244,2.048,0,0.042
343,0,Goto,0,0.215,2.06,0,0.042
344,0,Goto,0,0.185,2.071,0,0.042
345,0,Goto,0,0.155,2.08,0,0.042
346,0,Goto,0,0.125,2.087,0,0.042
347,0,Goto,0,0.094,2.093,0,0.042
348,0,Goto,0,0.063,2.097,0,0.042
349,0,Goto,0,0.031,2.099,0,0.042
350,0,Goto,0,0.0,2.1,0,0.042
351,0,Goto,0,-0.031,2.099,0,0.042
352,0,Goto,0,-0.063,2.097,0,0.042
353,0,Goto,0,-0.094,2.093,0,0.042
354,0,Goto,0,-0.125,2.087,0,0.042
355,0,Goto,0,-0.155,2.08,0,0.042
356,0,Goto,0,-0.185,2.071,0,0.042
357,0,Goto,0,-0.215,2.06,0,0.042
358,0,Goto,0,-0.244,2.048,0,0.042
359,0,Goto,0,-0.272,2.035,0,0.042
360,0,Goto,0,-0.3,2.02,0,0.042
361,0,Goto,0,-0.327,2.003,0,0.042
362,0,Goto,0,-0.353,1.985,0,0.042
363,0,Goto,0,-0.378,1.966,0,0.042
364,0,Goto,0,-0.401,1.946,0,0.042
365,0,Goto,0,-0.424,1.924,0,0.042
366,0,Goto,0,-0.446,1.901,0,0.042
367,0,Goto,0,-0.466,1.878,0,0.042
368,0,Goto,0,-0.485,1.853,0,0.042
369,0,Goto,0,-0.503,1.827,0,0.042
370,0,Goto,0,-0.52,1.8,0,0.042
371,0,Goto,0,-0.535,1.772,0,0.042
372,0,Goto,0,-0.548,1.744,0,0.042
373,0,Goto,0,-0.56,1.715,0,0.042
374,0,Goto,0,-0.571,1.685,0,0.042
375,0,Goto,0,-0.58,1.655,0,0.042
376,0,Goto,0,-0.587,1.625,0,0.042
377,0,Goto,0,-0.593,1.594,0,0.042
378,0,Goto,0,-0.597,1.563,0,0.042
379,0,Goto,0,-0.599,1.531,0,0.042
380,0,Goto,0,-0.6,1.5,0,0.042
381,0,Goto,0,-0.599,1.469,0,0.042
382,0,Goto,0,-0.597,1.437,0,0.042
383,0,Goto,0,-0.593,1.406,0,0.042
384,0,Goto,0,-0.587,1.375,0,0.042
385,0,Goto,0,-0.58,1.345,0,0.042
386,0,Goto,0,-0.571,1.315,0,0.042
387,0,Goto,0,-0.56,1.285,0,0.042
388,0,Goto,0,-0.548,1.256,0,0.042
389,0,Goto,0,-0.535,1.228,0,0.042
390,0,Goto,0,-0.52,1.2,0,0.042
391,0,Goto,0,-0.503,1.173,0,0.042
392,0,Goto,0,-0.485,1.147,0,0.042
393,0,Goto,0,-0.466,1.122,0,0.042
394,0,Goto,0,-0.446,1.099,0,0.042
395,0,Goto,0,-0.424,1.076,0,0.042
396,0,Goto,0,-0.401,1.054,0,0.042
397,0,Goto,0,-0.378,1.034,0,0.042
398,0,Goto,0,-0.353,1.015,0,0.042
399,0,Goto,0,-0.327,0.997,0,0.042
400,0,Goto,0,-0.3,0.98,0,0.042
401,0,Goto,0,-0.272,0.965,0,0.042
402,0,Goto,0,-0.244,0.952,0,0.042
403,0,Goto,0,-0.215,0.94,0,0.042
404,0,Goto,0,-0.185,0.929,0,0.042
405,0,Goto,0,-0.155,0.92,0,0.042
406,0,Goto,0,-0.125,0.913,0,0.042
407,0,Goto,0,-0.094,0.907,0,0.042
408,0,Goto,0,-0.063,0.903,0,0.042
409,0,Goto,0,-0.031,0.901,0,0.042
410,0,Goto,0,0.0,0.9,0,0.042
411,0,Goto,0,0.031,0.901,0,0.042
412,0,Goto,0,0.063,0.903,0,0.042
413,0,Goto,0,0.094,0.907,0,0.042
414,0,Goto,0,0.125,0.913,0,0.042
415,0,Goto,0,0.155,0.92,0,0.042
416,0,Goto,0,0.185,0.929,0,0.042
417,0,Goto,0,0.215,0.94,0,0.042
418,0,Goto,0,0.244,0.952,0,0.042
419,0,Goto,0,0.272,0.965,0,0.042
