Step,Id,Command,X-R-L,Y-G,Z-B,Yaw-Intensity,Duration
1,2,Goto,-0.26,-0.15,1,0,0.042
2,2,Goto,-0.252,-0.163,1,0,0.042
3,2,Goto,-0.243,-0.176,1,0,0.042
4,2,Goto,-0.233,-0.189,1,0,0.042
5,2,Goto,-0.223,-0.201,1,0,0.042
6,2,Goto,-0.212,-0.212,1,0,0.042
7,2,Goto,-0.201,-0.223,1,0,0.042
8,2,Goto,-0.189,-0.233,1,0,0.042
9,2,Goto,-0.176,-0.243,1,0,0.042
10,2,Goto,-0.163,-0.252,1,0,0.042
11,2,Goto,-0.15,-0.26,1,0,0.042
12,2,Goto,-0.136,-0.267,1,0,0.042
13,2,Goto,-0.122,-0.274,1,0,0.042
14,2,Goto,-0.108,-0.28,1,0,0.042
15,2,Goto,-0.093,-0.285,1,0,0.042
16,2,Goto,-0.078,-0.29,1,0,0.042
17,2,Goto,-0.062,-0.293,1,0,0.042
18,2,Goto,-0.047,-0.296,1,0,0.042
19,2,Goto,-0.031,-0.298,1,0,0.042
20,2,Goto,-0.016,-0.3,1,0,0.042
21,2,Goto,0.0,-0.3,1,0,0.042
22,2,Goto,0.016,-0.3,1,0,0.042
23,2,Goto,0.031,-0.298,1,0,0.042
24,2,Goto,0.047,-0.296,1,0,0.042
25,2,Goto,0.062,-0.293,1,0,0.042
26,2,Goto,0.078,-0.29,1,0,0.042
27,2,Goto,0.093,-0.285,1,0,0.042
28,2,Goto,0.108,-0.28,1,0,0.042
29,2,Goto,0.122,-0.274,1,0,0.042
30,2,Goto,0.136,-0.267,1,0,0.042
31,2,Goto,0.15,-0.26,1,0,0.042
32,2,Goto,0.163,-0.252,1,0,0.042
33,2,Goto,0.176,-0.243,1,0,0.042
34,2,Goto,0.189,-0.233,1,0,0.042
35,2,Goto,0.201,-0.223,1,0,0.042
36,2,Goto,0.212,-0.212,1,0,0.042
37,2,Goto,0.223,-0.201,1,0,0.042
38,2,Goto,0.233,-0.189,1,0,0.042
39,2,Goto,0.243,-0.176,1,0,0.042
40,2,Goto,0.252,-0.163,1,0,0.042
41,2,Goto,0.26,-0.15,1,0,0.042
42,2,Goto,0.267,-0.136,1,0,0.042
43,2,Goto,0.274,-0.122,1,0,0.042
44,2,Goto,0.28,-0.108,1,0,0.042
45,2,Goto,0.285,-0.093,1,0,0.042
46,2,Goto,0.29,-0.078,1,0,0.042
47,2,Goto,0.293,-0.062,1,0,0.042
48,2,Goto,0.296,-0.047,1,0,0.042
49,2,Goto,0.298,-0.031,1,0,0.042
50,2,Goto,0.3,-0.016,1,0,0.042
51,2,Goto,0.3,0.0,1,0,0.042
52,2,Goto,0.3,0.016,1,0,0.042
53,2,Goto,0.298,0.031,1,0,0.042
54,2,Goto,0.296,0.047,1,0,0.042
55,2,Goto,0.293,0.062,1,0,0.042
56,2,Goto,0.29,0.078,1,0,0.042
57,2,Goto,0.285,0.093,1,0,0.042
58,2,Goto,0.28,0.108,1,0,0.042
59,2,Goto,0.274,0.122,1,0,0.042
60,2,Goto,0.267,0.136,1,0,0.042
61,2,Goto,0.26,0.15,1,0,0.042
62,2,Goto,0.252,0.163,1,0,0.042
63,2,Goto,0.243,0.176,1,0,0.042
64,2,Goto,0.233,0.189,1,0,0.042
65,2,Goto,0.223,0.201,1,0,0.042
66,2,Goto,0.212,0.212,1,0,0.042
67,2,Goto,0.201,0.223,1,0,0.042
68,2,Goto,0.189,0.233,1,0,0.042
69,2,Goto,0.176,0.243,1,0,0.042
70,2,Goto,0.163,0.252,1,0,0.042
71,2,Goto,0.15,0.26,1,0,0.042
72,2,Goto,0.136,0.267,1,0,0.042
73,2,Goto,0.122,0.274,1,0,0.042
74,2,Goto,0.108,0.28,1,0,0.042
75,2,Goto,0.093,0.285,1,0,0.042
76,2,Goto,0.078,0.29,1,0,0.042
77,2,Goto,0.062,0.293,1,0,0.042
78,2,Goto,0.047,0.296,1,0,0.042
79,2,Goto,0.031,0.298,1,0,0.042
80,2,Goto,0.016,0.3,1,0,0.042
81,2,Goto,0.0,0.3,1,0,0.042
82,2,Goto,-0.016,0.3,1,0,0.042
83,2,Goto,-0.031,0.298,1,0,0.042
84,2,Goto,-0.047,0.296,1,0,0.042
85,2,Goto,-0.062,0.293,1,0,0.042
86,2,Goto,-0.078,0.29,1,0,0.042
87,2,Goto,-0.093,0.285,1,0,0.042
88,2,Goto,-0.108,0.28,1,0,0.042
89,2,Goto,-0.122,0.274,1,0,0.042
90,2,Goto,-0.136,0.267,1,0,0.042
91,2,Goto,-0.15,0.26,1,0,0.042
92,2,Goto,-0.163,0.252,1,0,0.042
93,2,Goto,-0.176,0.243,1,0,0.042
94,2,Goto,-0.189,0.233,1,0,0.042
95,2,Goto,-0.201,0.223,1,0,0.042
96,2,Goto,-0.212,0.212,1,0,0.042
97,2,Goto,-0.223,0.201,1,0,0.042
98,2,Goto,-0.233,0.189,1,0,0.042
99,2,Goto,-0.243,0.176,1,0,0.042
100,2,Goto,-0.252,0.163,1,0,0.042
101,2,Goto,-0.26,0.15,1,0,0.042
102,2,Goto,-0.267,0.136,1,0,0.042
103,2,Goto,-0.274,0.122,1,0,0.042
104,2,Goto,-0.28,0.108,1,0,0.042
105,2,Goto,-0.285,0.093,1,0,0.042
106,2,Goto,-0.29,0.078,1,0,0.042
107,2,Goto,-0.293,0.062,1,0,0.042
108,2,Goto,-0.296,0.047,1,0,0.042
109,2,Goto,-0.298,0.031,1,0,0.042
110,2,Goto,-0.3,0.016,1,0,0.042
111,2,Goto,-0.3,0.0,1,0,0.042
112,2,Goto,-0.3,-0.016,1,0,0.042
113,2,Goto,-0.298,-0.031,1,0,0.042
114,2,Goto,-0.296,-0.047,1,0,0.042
115,2,Goto,-0.293,-0.062,1,0,0.042
116,2,Goto,-0.29,-0.078,1,0,0.042
117,2,Goto,-0.285,-0.093,1,0,0.042
118,2,Goto,-0.28,-0.108,1,0,0.042
119,2,Goto,-0.274,-0.122,1,0,0.042
120,2,Goto,-0.267,-0.136,1,0,0.042
121,2,Goto,-0.26,-0.15,1,0,0.042
