Step,Id,Command,X-R-L,Y-G,Z-B,Yaw-Intensity,Duration
160,0,Goto,0.6,0.0,1,0,0.042
161,0,Goto,0.599,-0.031,1,0,0.042
162,0,Goto,0.597,-0.063,1,0,0.042
163,0,Goto,0.593,-0.094,1,0,0.042
164,0,Goto,0.587,-0.125,1,0,0.042
165,0,Goto,0.58,-0.155,1,0,0.042
166,0,Goto,0.571,-0.185,1,0,0.042
167,0,Goto,0.56,-0.215,1,0,0.042
168,0,Goto,0.548,-0.244,1,0,0.042
169,0,Goto,0.535,-0.272,1,0,0.042
170,0,Goto,0.52,-0.3,1,0,0.042
171,0,Goto,0.503,-0.327,1,0,0.042
172,0,Goto,0.485,-0.353,1,0,0.042
173,0,Goto,0.466,-0.378,1,0,0.042
174,0,Goto,0.446,-0.401,1,0,0.042
175,0,Goto,0.424,-0.424,1,0,0.042
176,0,Goto,0.401,-0.446,1,0,0.042
177,0,Goto,0.378,-0.466,1,0,0.042
178,0,Goto,0.353,-0.485,1,0,0.042
179,0,Goto,0.327,-0.503,1,0,0.042
180,0,Goto,0.3,-0.52,1,0,0.042
181,0,Goto,0.272,-0.535,1,0,0.042
182,0,Goto,0.244,-0.548,1,0,0.042
183,0,Goto,0.215,-0.56,1,0,0.042
184,0,Goto,0.185,-0.571,1,0,0.042
185,0,Goto,0.155,-0.58,1,0,0.042
186,0,Goto,0.125,-0.587,1,0,0.042
187,0,Goto,0.094,-0.593,1,0,0.042
188,0,Goto,0.063,-0.597,1,0,0.042
189,0,Goto,0.031,-0.599,1,0,0.042
190,0,Goto,0.0,-0.6,1,0,0.042
191,0,Goto,-0.031,-0.599,1,0,0.042
192,0,Goto,-0.063,-0.597,1,0,0.042
193,0,Goto,-0.094,-0.593,1,0,0.042
194,0,Goto,-0.125,-0.587,1,0,0.042
195,0,Goto,-0.155,-0.58,1,0,0.042
196,0,Goto,-0.185,-0.571,1,0,0.042
197,0,Goto,-0.215,-0.56,1,0,0.042
198,0,Goto,-0.244,-0.548,1,0,0.042
199,0,Goto,-0.272,-0.535,1,0,0.042
200,0,Goto,-0.3,-0.52,1,0,0.042
201,0,Goto,-0.327,-0.503,1,0,0.042
202,0,Goto,-0.353,-0.485,1,0,0.042
203,0,Goto,-0.378,-0.466,1,0,0.042
204,0,Goto,-0.401,-0.446,1,0,0.042
205,0,Goto,-0.424,-0.424,1,0,0.042
206,0,Goto,-0.446,-0.401,1,0,0.042
207,0,Goto,-0.466,-0.378,1,0,0.042
208,0,Goto,-0.485,-0.353,1,0,0.042
209,0,Goto,-0.503,-0.327,1,0,0.042
210,0,Goto,-0.52,-0.3,1,0,0.042
211,0,Goto,-0.535,-0.272,1,0,0.042
212,0,Goto,-0.548,-0.244,1,0,0.042
213,0,Goto,-0.56,-0.215,1,0,0.042
214,0,Goto,-0.571,-0.185,1,0,0.042
215,0,Goto,-0.58,-0.155,1,0,0.042
216,0,Goto,-0.587,-0.125,1,0,0.042
217,0,Goto,-0.593,-0.094,1,0,0.042
218,0,Goto,-0.597,-0.063,1,0,0.042
219,0,Goto,-0.599,-0.031,1,0,0.042
220,0,Goto,-0.6,0.0,1,0,0.042
221,0,Goto,-0.599,0.031,1,0,0.042
222,0,Goto,-0.597,0.063,1,0,0.042
223,0,Goto,-0.593,0.094,1,0,0.042
224,0,Goto,-0.587,0.125,1,0,0.042
225,0,Goto,-0.58,0.155,1,0,0.042
226,0,Goto,-0.571,0.185,1,0,0.042
227,0,Goto,-0.56,0.215,1,0,0.042
228,0,Goto,-0.548,0.244,1,0,0.042
229,0,Goto,-0.535,0.272,1,0,0.042
230,0,Goto,-0.52,0.3,1,0,0.042
231,0,Goto,-0.503,0.327,1,0,0.042
232,0,Goto,-0.485,0.353,1,0,0.042
233,0,Goto,-0.466,0.378,1,0,0.042
234,0,Goto,-0.446,0.401,1,0,0.042
235,0,Goto,-0.424,0.424,1,0,0.042
236,0,Goto,-0.401,0.446,1,0,0.042
237,0,Goto,-0.378,0.466,1,0,0.042
238,0,Goto,-0.353,0.485,1,0,0.042
239,0,Goto,-0.327,0.503,1,0,0.042
240,0,Goto,-0.3,0.52,1,0,0.042
241,0,Goto,-0.272,0.535,1,0,0.042
242,0,Goto,-0.244,0.548,1,0,0.042
243,0,Goto,-0.215,0.56,1,0,0.042
244,0,Goto,-0.185,0.571,1,0,0.042
245,0,Goto,-0.155,0.58,1,0,0.042
246,0,Goto,-0.125,0.587,1,0,0.042
247,0,Goto,-0.094,0.593,1,0,0.042
248,0,Goto,-0.063,0.597,1,0,0.042
249,0,Goto,-0.031,0.599,1,0,0.042
250,0,Goto,0.0,0.6,1,0,0.042
251,0,Goto,0.031,0.599,1,0,0.042
252,0,Goto,0.063,0.597,1,0,0.042
253,0,Goto,0.094,0.593,1,0,0.042
254,0,Goto,0.125,0.587,1,0,0.042
255,0,Goto,0.155,0.58,1,0,0.042
256,0,Goto,0.185,0.571,1,0,0.042
257,0,Goto,0.215,0.56,1,0,0.042
258,0,Goto,0.244,0.548,1,0,0.042
259,0,Goto,0.272,0.535,1,0,0.042
260,0,Goto,0.3,0.52,1,0,0.042
261,0,Goto,0.327,0.503,1,0,0.042
262,0,Goto,0.353,0.485,1,0,0.042
263,0,Goto,0.378,0.466,1,0,0.042
264,0,Goto,0.401,0.446,1,0,0.042
265,0,Goto,0.424,0.424,1,0,0.042
266,0,Goto,0.446,0.401,1,0,0.042
267,0,Goto,0.466,0.378,1,0,0.042
268,0,Goto,0.485,0.353,1,0,0.042
269,0,Goto,0.503,0.327,1,0,0.042
270,0,Goto,0.52,0.3,1,0,0.042
271,0,Goto,0.535,0.272,1,0,0.042
272,0,Goto,0.548,0.244,1,0,0.042
273,0,Goto,0.56,0.215,1,0,0.042
274,0,Goto,0.571,0.185,1,0,0.042
275,0,Goto,0.58,0.155,1,0,0.042
276,0,Goto,0.587,0.125,1,0,0.042
277,0,Goto,0.593,0.094,1,0,0.042
278,0,Goto,0.597,0.063,1,0,0.042
279,0,Goto,0.599,0.031,1,0,0.042
280,0,Goto,0.6,0.0,1,0,0.042
